RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
894,Dubai,26-30,Female,800 Dhs and above,General Employee,In Eids and seasons,A change in employment status,Neutral,Often,Moderately,"No, not often",Often,Sometimes,Slightly,Rarely,Very important,Sometimes,Neutral,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
895,Abu Dhabi,36–40,Female,Less than 200 Dhs,Customer Service and Sales,Every 3 months,No significant change in income,Very important,Rarely,Moderately,"Yes, sometimes",Often,Always,Very much,Always,Somewhat important,Always,Somewhat important,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,1,Authentic brands and easy returns.,More niche fragrance houses.,Add WhatsApp virtual consultations.
896,Dubai,36–40,Female,400–800 Dhs,Engineering,In Eids and seasons,A sudden increase in income,Neutral,Often,Very much,"No, never",Often,Sometimes,Slightly,Always,Somewhat important,Always,Extremely important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
897,Sharjah,31-35,Female,400–800 Dhs,Unemployed,Monthly,A sudden increase in income,Neutral,Often,Very much,"Yes, always",Sometimes,Often,Moderately,Sometimes,Not important at all,Often,Neutral,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Offer student and family bundles.
898,Fujairah,36–40,Male,200-400 Dhs,Health,Every 6 months,A change in employment status,Extremely important,Often,Very much,"No, never",Sometimes,Sometimes,Moderately,Rarely,Extremely important,Sometimes,Extremely important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Improve stock updates online.
899,Abu Dhabi,31-35,Female,200-400 Dhs,Engineering,Every 3 months,A sudden increase in income,Extremely important,Often,Completely,"Yes, sometimes",Sometimes,Often,Not at all,Rarely,Neutral,Sometimes,Extremely important,Never,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,3,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,More samples with purchases.
900,Dubai,31-35,Male,400–800 Dhs,Engineering,Every 3 months,No significant change in income,Very important,Never,Very much,"No, not often",Rarely,Rarely,Completely,Often,Not important at all,Sometimes,Neutral,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Fast checkout and loyalty rewards.,Workshops on layering scents.,More samples with purchases.
901,Sharjah,31-35,Male,Less than 200 Dhs,General Employee,Monthly,No significant change in income,Somewhat important,Sometimes,Not at all,"Yes, sometimes",Rarely,Sometimes,Moderately,Sometimes,Neutral,Rarely,Neutral,Never,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Authentic brands and easy returns.,Workshops on layering scents.,Offer student and family bundles.
902,Dubai,36–40,Female,800 Dhs and above,Education,Every 6 months,A sudden increase in income,Extremely important,Sometimes,Completely,"Yes, always",Always,Sometimes,Completely,Always,Somewhat important,Sometimes,Extremely important,Rarely,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,5,Product variety and staff knowledge.,Personalized engraving for gifts.,More samples with purchases.
903,Abu Dhabi,21-25,Male,400–800 Dhs,Senior & Managerial positions,Weekly,A sudden increase in income,Very important,Sometimes,Slightly,"Yes, sometimes",Rarely,Rarely,Moderately,Often,Somewhat important,Sometimes,Somewhat important,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,1,Authentic brands and easy returns.,More niche fragrance houses.,Extend loyalty tiers with birthday perks.
904,Dubai,26-30,Male,Less than 200 Dhs,Health,Every 6 months,No significant change in income,Extremely important,Often,Moderately,"Yes, always",Never,Always,Very much,Sometimes,Not important at all,Often,Not important at all,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,5,Exclusive releases and tester availability.,Travel-size discovery sets.,Improve stock updates online.
905,Dubai,26-30,Male,400–800 Dhs,Education,Every 3 months,A change in employment status,Not important at all,Rarely,Very much,"Yes, sometimes",Never,Sometimes,Completely,Sometimes,Neutral,Never,Extremely important,Never,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Add WhatsApp virtual consultations.
906,Abu Dhabi,36–40,Female,200-400 Dhs,Law,In Eids and seasons,A change in employment status,Not important at all,Always,Completely,"No, not often",Often,Always,Slightly,Often,Very important,Often,Somewhat important,Always,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Offer student and family bundles.
907,Dubai,31-35,Male,200-400 Dhs,Senior & Managerial positions,Every 3 months,A change in employment status,Very important,Rarely,Moderately,"Yes, sometimes",Rarely,Often,Very much,Sometimes,Somewhat important,Sometimes,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,More samples with purchases.
908,Abu Dhabi,41-50,Female,800 Dhs and above,Banking and Finance,Every 3 months,A change in employment status,Not important at all,Always,Completely,"No, never",Often,Often,Moderately,Sometimes,Somewhat important,Always,Neutral,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Authentic brands and easy returns.,Personalized engraving for gifts.,More samples with purchases.
909,Abu Dhabi,Under 21,Female,800 Dhs and above,General Employee,Every 6 months,No significant change in income,Extremely important,Rarely,Very much,"Yes, sometimes",Sometimes,Often,Completely,Sometimes,Very important,Always,Extremely important,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,5,Convenient location and parking.,Refill options and eco-friendly packaging.,Offer student and family bundles.
910,Ras Al-Khaimah,26-30,Male,200-400 Dhs,Entrepreneur,Every 6 months,No significant change in income,Neutral,Often,Slightly,"Yes, sometimes",Always,Often,Not at all,Sometimes,Very important,Sometimes,Very important,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
911,Sharjah,Under 21,Female,Less than 200 Dhs,Health,Every 3 months,No significant change in income,Somewhat important,Often,Very much,"Yes, sometimes",Sometimes,Never,Moderately,Always,Very important,Always,Extremely important,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
912,Dubai,31-35,Female,400–800 Dhs,Self-employed,Every 3 months,A sudden increase in income,Neutral,Sometimes,Slightly,"Yes, always",Sometimes,Always,Moderately,Rarely,Extremely important,Often,Not important at all,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,4,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
913,Dubai,36–40,Male,400–800 Dhs,Self-employed,Every 3 months,No significant change in income,Very important,Never,Completely,"Yes, sometimes",Always,Sometimes,Completely,Never,Extremely important,Often,Very important,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,More samples with purchases.
